x,y,population
467666.7273323913,226388.7898520766,18.615487663659916
468854.65447597805,226388.7898520766,36.20420062226256
470042.58161956473,226388.7898520766,36.991822049192876
471230.50876315136,226388.78985207656,37.50206857505981
472418.43590673804,226388.7898520766,37.95107676387049
473606.3630503247,226388.78985207656,38.37486794552254
474794.2901939113,226388.7898520766,38.48800623975638
475982.21733749803,226388.7898520766,38.5389248474141
477170.1444810847,226388.7898520766,39.463106340320316
478358.07162467146,226388.7898520766,39.786365031976146
479545.998768258,226388.78985207656,39.98237867176201
480733.92591184465,226388.7898520766,40.70932214258896
481921.8530554314,226388.78985207656,40.995398552480836
483109.7801990179,226388.7898520766,41.46806645912108
484297.70734260464,226388.7898520766,41.930419372854985
485485.6344861913,226388.7898520766,29.44830617810924
486673.56162977807,226388.7898520766,28.491821979788497
487861.48877336463,226388.78985207656,28.541164634417004
489049.41591695143,226388.78985207656,28.58398143527136
490237.343060538,226388.7898520766,28.600790919697438
491425.2702041247,226388.7898520766,28.65942598320728
492613.1973477114,226388.7898520766,28.66326589069965
493801.1244912981,226388.7898520766,28.540835630265796
494989.0516348847,226388.78985207656,28.36458417459956
496176.97877847136,226388.7898520766,28.388554713583094
497364.90592205804,226388.78985207656,28.358474240276085
498552.83306564466,226388.7898520766,28.356973046036515
499740.7602092314,226388.7898520766,28.29153688663128
500928.68735281803,226388.7898520766,28.206485612781545
502116.6144964048,226388.7898520766,28.068568940907983
503304.5416399914,226388.78985207656,15.444459780076983
504492.46878357796,226388.7898520766,10.484940836811667
505680.3959271646,226388.78985207656,10.40378999844212
506868.3230707514,226388.7898520766,10.312186962570607
508056.250214338,226388.7898520766,10.327297253271508
509244.17735792464,226388.7898520766,10.473543926200595
510432.10450151144,226388.7898520766,10.53939795395898
511620.03164509806,226388.78985207656,10.63301698953876
512807.95878868474,226388.78985207656,10.457133189460315
513995.8859322713,226388.7898520766,10.444301497743126
515183.813075858,226388.7898520766,10.575436368976604
516371.7402194446,226388.7898520766,10.725633652964332
517559.6673630313,226388.7898520766,10.929062796303281
518747.594506618,226388.78985207656,11.318490410256363
519935.52165020467,226388.7898520766,11.551374040102642
521123.44879379135,226388.78985207656,11.74855456371396
522311.3759373781,226388.7898520766,11.996841240770118
523499.3030809646,226388.7898520766,12.20861155262028
524687.2302245513,226388.7898520766,12.399958806800104
525875.157368138,226388.7898520766,12.394606450014576
527063.0845117246,226388.78985207656,12.372115646011537
528251.0116553112,226388.7898520766,12.352580925129
529438.9387988978,226388.7898520766,12.367876843629602
530626.8659424847,226388.7898520766,12.373495679445938
531814.7930860713,226388.7898520766,12.36273514577992
533002.7202296581,226388.7898520766,13.798329885159383
534190.6473732446,226388.7898520766,19.008216595940198
535378.5745168314,226388.78985207656,19.06288613521929
536566.501660418,226388.7898520766,19.146717871983345
537754.4288040046,226388.7898520766,19.162771036630403
538942.3559475914,226388.7898520766,19.223521086059613
540130.283091178,226388.7898520766,19.200673866987767
541318.2102347647,226388.7898520766,19.209678683552834
542506.1373783513,226388.7898520766,19.33458074571891
543694.064521938,226388.78985207656,19.346495881088778
544881.9916655247,226388.7898520766,19.346956264017333
546069.9188091112,226388.7898520766,19.349707414261015
547257.845952698,226388.7898520766,19.478547732063152
548445.7730962847,226388.7898520766,19.732249268432177
549633.7002398713,226388.7898520766,19.911290459148013
550821.6273834578,226388.7898520766,20.168280935354378
552009.5545270446,226388.78985207656,20.61182104771706
553197.4816706313,226388.7898520766,20.914804312919156
554385.4088142179,226388.7898520766,21.303819565098912
555573.3359578047,226388.7898520766,21.631473973147777
556761.2631013913,226388.7898520766,21.94248772833459
557949.190244978,226388.78985207656,22.253501483523618
559137.1173885645,226388.7898520766,22.51373071000781
560325.0445321512,226388.78985207656,22.683915011654847
561512.9716757379,226388.7898520766,22.891716375541765
562700.8988193246,226388.7898520766,22.892934574343997
563888.8259629112,226388.7898520766,23.047423383039067
565076.7531064979,226388.7898520766,23.152618935489336
566264.6802500846,226388.78985207656,23.288273609094905
567452.6073936713,226388.7898520766,113.4919596769252
568640.534537258,226388.78985207656,158.91105271511287
